table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
furnishing_request,4,title,service_role,true,true,true,true,true,true,true,false
furnishing_request,5,requirements_description,anon,false,false,false,false,false,false,false,false
furnishing_request,5,requirements_description,authenticated,true,true,true,true,true,true,true,false
furnishing_request,5,requirements_description,service_role,true,true,true,true,true,true,true,false
furnishing_request,6,reference_image_urls,anon,false,false,false,false,false,false,false,false
furnishing_request,6,reference_image_urls,authenticated,true,true,true,true,true,true,true,false
furnishing_request,6,reference_image_urls,service_role,true,true,true,true,true,true,true,false
furnishing_request,7,budget_min,anon,false,false,false,false,false,false,false,false
furnishing_request,7,budget_min,authenticated,true,true,true,true,true,true,true,false
furnishing_request,7,budget_min,service_role,true,true,true,true,true,true,true,false
furnishing_request,8,budget_max,anon,false,false,false,false,false,false,false,false
furnishing_request,8,budget_max,authenticated,true,true,true,true,true,true,true,false
furnishing_request,8,budget_max,service_role,true,true,true,true,true,true,true,false
furnishing_request,9,requested_timing,anon,false,false,false,false,false,false,false,false
furnishing_request,9,requested_timing,authenticated,true,true,true,true,true,true,true,false
furnishing_request,9,requested_timing,service_role,true,true,true,true,true,true,true,false
furnishing_request,10,offer_deadline,anon,false,false,false,false,false,false,false,false
furnishing_request,10,offer_deadline,authenticated,true,true,true,true,true,true,true,false
furnishing_request,10,offer_deadline,service_role,true,true,true,true,true,true,true,false
furnishing_request,11,lifecycle_state,anon,false,false,false,false,false,false,false,false
furnishing_request,11,lifecycle_state,authenticated,true,true,true,true,true,true,true,false
furnishing_request,11,lifecycle_state,service_role,true,true,true,true,true,true,true,false
furnishing_request,12,created_at,anon,false,false,false,false,false,false,false,false
furnishing_request,12,created_at,authenticated,true,true,true,true,true,true,true,false
furnishing_request,12,created_at,service_role,true,true,true,true,true,true,true,false
furnishing_request,13,coarse_location,anon,false,false,false,false,false,false,false,false
furnishing_request,13,coarse_location,authenticated,true,true,true,true,true,true,true,false
furnishing_request,13,coarse_location,service_role,true,true,true,true,true,true,true,false
furnishing_request_design_version,1,furnishing_request_id,anon,false,false,false,false,false,false,false,false
furnishing_request_design_version,1,furnishing_request_id,authenticated,true,true,true,true,true,true,true,false
furnishing_request_design_version,1,furnishing_request_id,service_role,true,true,true,true,true,true,true,false
furnishing_request_design_version,2,design_version_id,anon,false,false,false,false,false,false,false,false
furnishing_request_design_version,2,design_version_id,authenticated,true,true,true,true,true,true,true,false
furnishing_request_design_version,2,design_version_id,service_role,true,true,true,true,true,true,true,false
marketplace_party,1,id,anon,true,false,false,false,true,false,false,false
marketplace_party,1,id,authenticated,true,false,false,true,true,false,false,false
marketplace_party,1,id,service_role,true,true,true,true,true,true,true,false
marketplace_party,2,user_id,anon,true,false,false,false,true,false,false,true
marketplace_party,2,user_id,authenticated,true,false,false,true,true,true,false,true
marketplace_party,2,user_id,service_role,true,true,true,true,true,true,true,true
marketplace_party,3,business_name,anon,true,false,false,false,true,false,false,true
marketplace_party,3,business_name,authenticated,true,false,false,true,true,true,true,true
marketplace_party,3,business_name,service_role,true,true,true,true,true,true,true,true
marketplace_party,4,business_description,anon,true,false,false,false,true,false,false,true
marketplace_party,4,business_description,authenticated,true,false,false,true,true,true,true,true
marketplace_party,4,business_description,service_role,true,true,true,true,true,true,true,true
marketplace_party,5,logo_url,anon,true,false,false,false,true,false,false,true
marketplace_party,5,logo_url,authenticated,true,false,false,true,true,true,true,true
marketplace_party,5,logo_url,service_role,true,true,true,true,true,true,true,true
marketplace_party,6,coverage_area,anon,true,false,false,false,true,false,false,true
marketplace_party,6,coverage_area,authenticated,true,false,false,true,true,true,true,true
marketplace_party,6,coverage_area,service_role,true,true,true,true,true,true,true,true
marketplace_party,7,approval_state,anon,true,false,false,false,true,false,false,false
marketplace_party,7,approval_state,authenticated,true,false,false,true,true,false,false,false
marketplace_party,7,approval_state,service_role,true,true,true,true,true,true,true,false
marketplace_party,8,state_reason,anon,true,false,false,false,true,false,false,false
marketplace_party,8,state_reason,authenticated,true,false,false,true,true,false,false,false
marketplace_party,8,state_reason,service_role,true,true,true,true,true,true,true,false
offer_line_item,1,id,anon,false,false,false,false,false,false,false,false
offer_line_item,1,id,authenticated,true,true,true,true,true,true,true,false
offer_line_item,1,id,service_role,true,true,true,true,true,true,true,false
offer_line_item,2,offer_id,anon,false,false,false,false,false,false,false,false
offer_line_item,2,offer_id,authenticated,true,true,true,true,true,true,true,false
offer_line_item,2,offer_id,service_role,true,true,true,true,true,true,true,false
offer_line_item,3,line_kind,anon,false,false,false,false,false,false,false,false
offer_line_item,3,line_kind,authenticated,true,true,true,true,true,true,true,false
offer_line_item,3,line_kind,service_role,true,true,true,true,true,true,true,false
offer_line_item,4,product_id,anon,false,false,false,false,false,false,false,false
offer_line_item,4,product_id,authenticated,true,true,true,true,true,true,true,false
offer_line_item,4,product_id,service_role,true,true,true,true,true,true,true,false
offer_line_item,5,item_name,anon,false,false,false,false,false,false,false,false
offer_line_item,5,item_name,authenticated,true,true,true,true,true,true,true,false
offer_line_item,5,item_name,service_role,true,true,true,true,true,true,true,false
offer_line_item,6,specification,anon,false,false,false,false,false,false,false,false
offer_line_item,6,specification,authenticated,true,true,true,true,true,true,true,false
offer_line_item,6,specification,service_role,true,true,true,true,true,true,true,false
offer_line_item,7,unit_price,anon,false,false,false,false,false,false,false,false
offer_line_item,7,unit_price,authenticated,true,true,true,true,true,true,true,false
offer_line_item,7,unit_price,service_role,true,true,true,true,true,true,true,false
offer_line_item,8,quantity,anon,false,false,false,false,false,false,false,false
offer_line_item,8,quantity,authenticated,true,true,true,true,true,true,true,false
offer_line_item,8,quantity,service_role,true,true,true,true,true,true,true,false
offer_line_item,9,line_total,anon,false,false,false,false,false,false,false,false
offer_line_item,9,line_total,authenticated,true,true,true,true,true,true,true,false
offer_line_item,9,line_total,service_role,true,true,true,true,true,true,true,false
offer_line_item,10,display_order,anon,false,false,false,false,false,false,false,false
offer_line_item,10,display_order,authenticated,true,true,true,true,true,true,true,false
offer_line_item,10,display_order,service_role,true,true,true,true,true,true,true,false
order_line_item,1,id,anon,false,false,false,false,false,false,false,false
order_line_item,1,id,authenticated,true,true,true,true,true,true,true,false
order_line_item,1,id,service_role,true,true,true,true,true,true,true,false
order_line_item,2,order_id,anon,false,false,false,false,false,false,false,false
